@RELATION ..\..\..\data_arff\u001-training.arff

@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,tap_left,tap_right,tap_up,tap_down,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_SideRatioFirst NUMERIC
@ATTRIBUTE Stroke_SideRatioLast NUMERIC
@ATTRIBUTE Stroke_TopRatioFirst NUMERIC
@ATTRIBUTE Stroke_TopRatioLast NUMERIC
@ATTRIBUTE Duration NUMERIC

@DATA
swipe_down,0,-7.343213,5.646951,0,1.498171,-3.792649,0.8067073,-7.343213,9.263413,-0.9615455,-0.2746458,0.9615455,-0.2746458,0.9599309,10.38471,20.97933,2.937264,17.68584,54.57355,0,0,167.1128,130.3333,177.6,156.8819,173.5665,145.4434,175.9866,150.6684,28.54481,0.9940196,-0.1092018,0.9300653,-0.3673942,11.73228,11.73228,23.98597,28.54481,31.32507,53672.24,1,0,0,1,329
swipe_down,-0.8067073,-3.389175,2.420122,0,0.627439,-1.694588,0.8067073,-2.824313,4.67963,-0.5735765,-0.8191521,0.5735765,-0.8191521,-0.9599314,13.5263,29.20519,0.9848077,13.93223,11.48651,2,0,171.953,130.3333,177.6,145.5846,175.1799,137.6765,175.9866,138.2414,16.26315,0.8138155,-0.5811233,0.9377822,-0.347224,15.38457,15.38457,31.29251,16.26315,17.92538,51110.34,1,0,0,1,423
swipe_down,0,-2.824313,0.8067073,0,0.2420122,-1.864046,0.8067073,-0.5648625,2.937264,-0.5735765,-0.8191521,0.90291,-0.4298297,-2.0151,8.298285,15.77317,1.876807,8.365323,8.627519,0,0,175.1799,130.3333,177.6,148.9738,176.06,140.4495,175.9866,141.6306,18.79692,0.9798152,-0.1999052,0.9916769,-0.1287517,15.81963,15.81963,28.68851,18.79692,19.3556,52881.18,1,0,0,1,470
swipe_down,-1.613415,-1.694588,0.8067073,0,-0.2420122,-0.8472939,0.8067073,-1.694588,2.954423,-0.5735765,-0.8191521,0.5735765,-0.8191521,5.960464E-08,11.34464,26.36464,0.9848077,8.86327,3.879385,3,0,175.9866,130.3333,180.0201,138.8063,177.3067,134.6468,176.7933,134.2874,9.384043,0.5735772,-0.8191515,0.9615456,0.2746455,12.6616,12.6616,23.29719,8.811799,12.01472,51674.43,0.4000008,1,0,1,470
swipe_down,-0.8067073,-1.129725,0.8067073,0,-0.08067073,-0.7343214,0,-1.129725,1.969615,-0.5735765,-0.8191521,0.5735765,-0.8191521,-1.308996,8.813913,19.96006,0.9848077,4.924039,1.276279,1,0,175.9866,130.3333,178.4067,137.6765,177.0867,134.5955,175.9866,134.8522,7.73174,0.9029087,-0.4298323,0.9940198,0.1091998,13.17723,13.17723,23.79822,7.387394,9.442945,50783.79,0.6666688,1,0,1,470
swipe_down,-0.8067073,-5.648625,2.420122,0,0.8067073,-3.61512,0,-4.5189,6.505336,-0.8529202,0.5220413,0.5735765,0.819152,4.369397,12.5396,24.8418,0.9848077,18.61925,34.51007,0,0,169.5329,130.3333,178.4067,166.4845,174.2265,149.2305,173.5665,150.1035,37.22436,0.979816,0.1999017,0.9759953,-0.2177917,15.31477,15.31477,28.09891,37.04034,38.78807,56723.58,0.9090915,0,0,1,470
swipe_down,0,-6.213488,4.840244,0,0.7170731,-3.5147,0.8067073,-5.083763,7.876255,-1,-4.371139E-08,1,-4.371139E-08,-7.417241,11.78056,20.39954,1.129725,21.41801,39.25821,0,0,171.1463,130.3333,177.6,161.9656,175.4219,145.4152,176.7933,146.7143,32.28394,1,-4.371139E-08,0.9798157,-0.1999031,13.81278,13.81278,24.61783,32.28394,34.26774,55523.94,1,0,0,1,423
swipe_down,-0.8067073,-5.083763,3.226829,0,0.8963413,-3.0126,-0.8067073,-5.083763,6.489534,-0.9615455,0.2746458,1,-4.371139E-08,-4.790411,12.29533,27.26844,1.129725,14.59406,26.49542,2,0,169.5329,130.3333,177.6,157.4467,174.5345,145.0198,175.9866,148.4089,28.28806,0.9417734,-0.3362484,0.9584752,-0.285176,14.97443,14.97443,29.40997,28.28806,30.98248,54358.2,1,0,0,1,423
swipe_down,-0.8067073,-3.389175,1.613415,0,0.1613414,-1.581615,0,-2.25945,4.164553,-0.5735765,-0.8191521,0.5735765,-0.8191521,0.1665613,12.39981,24.64515,1.969615,9.35013,11.48651,1,0,175.1799,130.3333,177.6,146.1495,175.6199,140.4495,175.1799,143.3252,16.00025,0.8529192,-0.522043,0.9948372,-0.1014841,11.27379,11.27379,20.06621,15.89824,17.18896,52330.95,1,0.3333354,0,1,470
swipe_down,-3.226829,-3.954038,2.420122,0,0.1613415,-1.468643,2.420122,-1.694588,6.893654,-1,-4.371139E-08,1,-4.371139E-08,2.32793,14.70382,34.79917,1.129725,22.40367,16.28519,3,0,174.3732,130.3333,178.4067,145.0198,176.1333,139.063,178.4067,141.0657,15.23026,0.8138155,-0.5811233,0.9940197,-0.1092008,13.72756,13.72756,28.03506,14.77479,20.22719,52002.01,0.8000015,0.4000008,0,1,470
