@RELATION ..\..\..\data_arff\all-training.arff
@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,swipe_front,swipe_back,tap_left,tap_right,tap_up,tap_down,tap_front,tap_back,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,horizontal_circle,vertical_circle,spiral,arm_lift,arm_drop,triangle,z,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MinZ NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MaxZ NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MeanZ NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE MedianZ NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE StartAngleSinXZ NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXZ NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE TotalAngleXZ NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXZ NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXZ NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE ZeroCrossingsZ NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MinZ NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MaxZ NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MeanZ NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_MedianZ NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXZ NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXZ NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXZ NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXZ NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXZ NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_ZeroCrossingsX NUMERIC
@ATTRIBUTE Stroke_ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_ZeroCrossingsZ NUMERIC
@ATTRIBUTE Duration NUMERIC
@DATA
swipe_back,-6.474929,-4.018705,0,0,0,1.152704,-3.507549,-1.633774,0.6018024,-6.474929,-4.018705,1.152704,7.707362,0.2130468,0.977042,-0.1591958,0.2130468,0.977042,-0.1591958,-1.673988,2.762257,2.784927,3.114617,5.279027,8.66545,4.19393,11.70441,59.40342,0,0,0,-10.52265,-4.901321,0,0,0,1.805407,-6.273252,-2.671315,1.06588,-10.52265,-4.901321,1.805407,11.7477,-0.4222313,-0.9064881,0.1691027,-0.4222313,-0.9064881,0.1691027,-5.513023,5.947129,5.513023,5.947129,15.25478,17.68431,11.7477,11.90129,138.0085,0,0,0,141
swipe_back,-9.680488,-19.51475,-2.568926,2.434303,6.77835,2.778371,-1.370693,-9.565653,0.008644658,-2.434303,-19.51475,2.125667,29.43958,-0.8344184,0.5511315,0.1485832,-0.5735765,0.8191521,0.2104354,-5.882443,-5.029652,12.41667,10.47735,22.97386,22.93929,12,76.70477,391.2696,4,0,2,-13.70693,-95.65652,-5.006092,0,6.77835,2.023613,-9.519632,-47.05764,-1.010522,-8.038712,-46.51692,-2.227721,103.5867,-0.3513387,-0.9362484,-0.2032169,-0.989889,-0.1418444,0.006306757,-11.32395,-7.672865,16.38541,18.07817,31.8256,43.79552,96.63362,118.2069,9338.057,0,1,1,470
swipe_back,-0.8208881,-18.68122,-2.416222,4.847334,0,2.431074,0.8909232,-8.746655,0.2260095,0,-16.42775,2.431074,20.11499,-0.9913527,-0.131224,0.2539578,1,-4.371139E-08,-1,-8.075591,4.422001,14.71387,14.53942,27.77526,32.50863,1.992389,60.3083,354.179,1,0,3,-1.634686,-87.46655,-2.095962,8.909232,0,2.849965,2.279894,-41.09277,0.8947604,1.613415,-34.34539,-2.095962,88.23851,-0.9928899,-0.1190362,0.4122555,-0.9948524,0.1013345,0.2458915,-13.24821,8.86689,13.24821,11.95631,19.8684,24.73423,87.94817,90.0205,7734.88,1,0,2,470
swipe_back,-2.420122,-15.51162,-0.7844627,2.448483,0,1.91013,0.5950758,-9.153201,-0.000311185,2.448483,-15.21542,-0.3952773,16.47952,-0.9742239,0.2255832,-0.4341776,0.9859485,0.1670495,-0.2325607,2.733986,1.636139,16.79311,15.10512,34.78936,36.22337,4.875481,40.29466,243.2935,3,0,5,-2.434303,-100.6852,-1.116907,6.545834,0,0.7932234,1.184787,-53.91748,-0.03690439,0.04963278,-60.64809,0.3979461,101.1029,-0.978552,-0.2059999,-0.1076233,-0.9978933,0.06487586,-0.0005229466,-14.52389,1.447304,14.52389,9.865311,22.14725,23.38079,100.8978,103.0904,10180.36,3,0,3,517
swipe_back,-1.627595,-13.8721,-2.58987,4.040627,0.08260123,1.236482,0.9553151,-7.06602,-0.4385166,1.620505,-9.227486,-2.58987,15.54038,-0.9999971,0.002403809,-0.9999215,1,-4.371139E-08,-1,-5.922602,0.7742989,17.34737,17.07367,33.40255,36.49474,1.992389,46.13938,210.2907,2,1,2,-1.613415,-77.80882,-4.823683,10.50847,0,0.1736482,3.304099,-40.64672,-2.206999,0.007090397,-46.73052,-4.206777,78.90581,-0.9948419,0.1014379,-0.1611936,-0.9909841,0.1339795,-0.4171766,-12.98898,-7.807986,13.19669,12.03677,19.31849,24.29371,78.58156,82.77131,6175.061,2,0,1,517
swipe_back,-4.061898,-14.44294,-1.263518,0.8137977,0,2.257426,-0.8077981,-6.839081,0.1722424,-0.8067073,-11.30087,0.91013,15.64506,-0.9938856,-0.1104152,-0.3299717,1,-4.371139E-08,-1,-3.377809,3.470307,18.04741,17.24045,33.64801,36.87628,1.992389,50.60197,213.6945,2,0,1,-10.50138,-88.90806,-3.012184,0,0,2.239151,-4.674468,-49.48006,-0.1208227,-5.661132,-59.1671,-2.102054,89.67998,-0.9908638,-0.1348662,-0.3540612,-0.9930966,-0.1172997,0.2085366,-19.37686,2.388477,19.37686,24.95243,34.96833,61.83785,89.55409,91.58492,8019.936,0,0,2,611
swipe_back,-1.620505,-11.80469,-1.58987,3.24101,0,1.736482,0.290642,-6.702587,-0.2051189,0.007090397,-11.80469,-1.416222,13.19279,-0.9469661,-0.3213336,-0.3632265,1,-4.371139E-08,-1,2.902292,-10.38561,20.84756,19.97678,47.62045,47.14302,1.992389,34.57017,141.3564,5,0,2,-3.24101,-93.83621,-5.428406,4.068988,0,0.1736482,-0.9666306,-49.21632,-1.955697,-2.434303,-48.69377,-4.012184,94.28708,-0.9340528,-0.3571348,0.01292351,-0.9990612,0.04332195,-0.5766078,-18.33735,-6.534629,18.33735,18.11447,29.96939,36.52531,93.96828,100.9279,8830.038,1,0,1,658
swipe_back,-2.434303,-12.74835,-1.437166,4.054808,0,1.736482,0.05378048,-5.693963,0.3756286,0.8067073,-10.76354,1.562834,14.65268,-0.811875,-0.5838313,-0.09381654,1,-4.371139E-08,-1,2.143264,-1.398724,21.2794,22.91367,43.31425,53.69477,1.992389,42.55978,166.1866,3,0,4,-6.474929,-85.40944,0,0.8067073,0,5.634428,-1.721786,-45.11694,2.793437,-5.668222,-51.44215,2.966872,85.90426,-1,-4.371139E-08,1,-0.9999554,0.009444768,0.9899054,-20.23151,15.04782,20.23151,20.5735,32.20494,42.87389,85.59889,88.50202,7327.17,1,0,0,705
swipe_back,-2.441393,-11.89327,-1.763518,4.054808,0,1.91013,-0.2294749,-6.849832,-0.07616118,-2.420122,-11.61863,1.389185,14.04087,-0.9699785,-0.2431905,-0.08068927,0.5735765,-0.8191521,-0.2104354,-2.903294,-3.90712,16.87562,19.98042,31.58429,42.63644,1,46.25874,145.7492,5,0,6,-3.219739,-95.89764,-4.727721,4.054808,0,0.5628336,-0.5882765,-46.49046,-1.572047,4.054808,-42.19604,-4.727721,96.31857,-1,-4.371139E-08,1,-0.9994393,-0.03348206,-0.3149975,-20.01987,4.254307,20.01987,23.58625,32.30362,55.33965,95.95737,99.44624,9207.816,5,0,1,658
swipe_back,-6.474929,-13.87808,-1.979056,6.48911,7.035059,2.083778,-0.0499761,-3.597568,0.0439596,-0.8067073,-13.87808,2.083778,24.93857,-0.811875,0.5838313,-0.09381652,-0.811875,0.5838313,-0.09381652,-1.244393,5.973846,27.82915,26.76619,59.85621,66.67358,8.33951,78.48474,197.5939,4,1,5,-14.58455,-57.56108,-0.01218383,0.8137977,13.79548,2.904038,-6.952382,-23.2223,0.6698633,-13.77075,-26.26918,0.8202599,73.05732,0.772604,-0.6348882,0.03484655,-0.9999035,-0.01389034,0.660464,-10.94353,9.64221,19.96152,23.36728,36.51954,60.32663,57.57093,100.7534,3314.413,2,1,2,752
