@RELATION ..\..\..\data_arff\u009-training.arff
@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,tap_left,tap_right,tap_up,tap_down,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_SideRatioFirst NUMERIC
@ATTRIBUTE Stroke_SideRatioLast NUMERIC
@ATTRIBUTE Stroke_TopRatioFirst NUMERIC
@ATTRIBUTE Stroke_TopRatioLast NUMERIC
@ATTRIBUTE Duration NUMERIC
@DATA
swipe_down,-0.8067073,-10.73239,2.420122,0,0.2016768,-5.931056,1.613415,-10.16753,11.20699,-0.9916769,-0.128751,1,-4.371139E-08,-6.052087,11.45027,23.2205,1.129725,25.37639,115.8349,3,0,175.9866,130.3333,179.2134,177.7818,177.7793,152.3002,179.2134,149.5387,47.55805,0.9615459,0.2746443,0.9994224,-0.033984,10.84256,10.84256,17.13223,47.47588,48.22086,62577.64,0.5000024,0,0,1,376
swipe_down,-4.840244,-6.77835,4.840244,0,0.8873781,-3.558634,1.613415,-6.77835,11.81769,-0.8529202,-0.5220412,1,-4.371139E-08,3.817021,12.98721,28.97555,1.129725,26.04623,48.54914,1,0,168.7262,130.3333,184.8604,165.9197,177.16,149.3333,183.2469,150.1035,39.07299,1,-4.371139E-08,0.9702886,-0.2419503,16.08008,16.08008,32.30291,36.67604,45.75053,57602.66,0.5500001,0,0,1,470
swipe_down,-5.646951,-9.037801,1.613415,0,-1.254878,-4.142325,1.613415,-6.77835,11.59288,-1,-4.371139E-08,0.5735765,0.819152,-0.637724,12.9599,30.49556,0.9848077,33.0266,84.28495,2,0,177.6,130.3333,188.8939,167.6143,182.2789,146.8273,181.6335,145.5846,38.95407,0.9615459,0.2746443,0.9570483,0.2899286,9.465383,9.465383,12.92478,38.95407,43.18542,63775.45,0,1,0,1,423
swipe_down,-5.646951,-10.73239,5.646951,0,0.4033536,-5.648625,-0.8067073,-9.602663,15.58,-0.3625396,0.9319683,0.7400393,0.6725636,5.606307,11.88949,25.25103,8.396159,30.28865,115.8349,3,0,174.3732,130.3333,184.0537,175.5223,179.6616,156.8819,181.6335,160.271,46.21427,0.8442847,0.5358949,0.9974602,-0.07122624,12.14438,12.14438,23.35233,45.30407,51.85957,62141.52,0.3333338,0,0,1,376
swipe_down,0,-7.908075,3.226829,0,0.8067073,-3.389175,0,-6.77835,8.541082,-0.90291,0.4298296,0.9615455,-0.2746458,-1.460272,12.80491,25.43717,2.937264,22.1778,62.53765,0,0,169.5329,130.3333,177.6,164.2251,172.6131,150.9765,171.953,155.7522,34.83861,0.8387659,-0.5444922,0.9728217,-0.2315556,13.33753,13.33753,26.32466,34.83861,36.83438,55984.02,1,0,0,1,470
swipe_down,-8.067073,-10.16753,1.613415,0,-0.4400221,-3.59458,0.8067073,-9.602663,14.03889,-0.90291,-0.4298297,0.5735765,-0.8191521,1.03578,13.83383,26.76783,0.9848077,44.01438,103.3786,4,0,175.9866,130.3333,184.0537,169.8737,179.4151,149.774,175.9866,152.9278,40.35491,0.5735772,-0.8191515,0.9925907,0.1215056,15.98347,15.98347,31.72462,39.83553,45.51705,62350.29,0.2000004,0.7999996,0,1,517
swipe_down,-6.453658,-9.602663,4.840244,0,-1.07561,-4.142325,-1.613415,-6.77835,14.82442,-8.742278E-08,-1,0.5735765,-0.8191521,0.05177182,12.5646,25.00489,5.908847,33.51612,92.86192,2,0,171.953,130.3333,187.2805,167.6143,177.7614,148.8608,175.1799,150.1035,40.30878,0.7000346,-0.714109,0.9679019,0.2513284,10.4951,10.4951,17.25445,38.51726,46.91334,63168.52,0.3684215,1,0,1,423
swipe_down,-4.033536,-9.602663,7.260365,0,0.4481707,-3.828513,7.260365,-5.083763,14.82442,-0.9876427,-0.1567222,0.90291,0.4298297,-1.744603,13.24453,29.2085,1.876807,42.11039,92.86192,3,0,172.7598,130.3333,180.8268,164.7899,176.5513,151.1768,172.7598,159.7062,35.38836,0.979816,0.1999017,0.9932179,-0.1162675,11.23223,11.23223,21.05539,34.6919,42.4732,57672.03,0.6000012,0.1000011,0,1,423
swipe_down,-5.646951,-7.908075,3.226829,0,-2.097439,-3.050258,-5.646951,-3.954038,11.8862,-0.7242401,-0.6895479,0.5735765,-0.8191521,-2.808949,12.23373,25.84632,1.969615,30.10674,85.96561,2,0,175.1799,130.3333,201.8012,160.8359,189.1873,148.3062,190.5073,150.6684,40.48585,0.9029093,-0.4298312,0.8239933,0.5665995,10.29853,10.29853,18.48555,37.01799,45.80593,65870.23,0.09090956,0.8787876,0,1,470
swipe_down,-6.453658,-9.037801,0.8067073,0,-2.117607,-3.177352,0,-4.5189,11.59287,-0.5735765,-0.8191521,0.5735765,-0.8191521,-0.1002849,9.107355,21.50917,0.9848077,31.30163,105.1098,1,0,175.9866,130.3333,194.5408,155.7522,183.0677,141.9444,181.6335,142.1954,31.47026,0.5735772,-0.8191515,0.8321264,0.5545859,10.05958,10.05958,18.45634,30.54683,34.37456,62104.88,0.08695677,1,0,1,376
